SAPNo;QBCena;QB;Waluta
2885726;472,19;3;PLN
2888835;44,42;2;PLN
2888837;88,94;2;PLN
2888838;148,15;2;PLN
2915866;38,31;5;PLN
2915866;37,80;10;PLN
2992986;655,21;9;PLN
3016960;46,70;2;PLN
3059236;38,26;5;PLN
3059236;37,75;10;PLN
3059237;77,33;5;PLN
3059237;76,29;10;PLN
3059238;51,36;5;PLN
3059238;50,67;10;PLN
3085080;191,15;5;PLN
3085080;188,60;10;PLN
3119721;145,86;5;PLN
3119721;143,92;10;PLN
3123785;428,59;2;PLN
3143256;30,98;5;PLN
3143256;30,50;10;PLN
3143257;30,98;5;PLN
3143257;30,50;10;PLN
3143258;38,88;5;PLN
3143258;38,27;10;PLN
3143259;38,88;5;PLN
3143259;38,27;10;PLN
3147174;1989,04;3;PLN
3156646;844,31;2;PLN
3156655;208,98;2;PLN
3156684;144,12;2;PLN
3157808;675,36;2;PLN
3194271;227,32;2;PLN
3194272;556,96;2;PLN
3222318;81,29;2;PLN
3222319;50,83;2;PLN
3222471;50,83;2;PLN
3222473;49,95;2;PLN
3222475;190,82;2;PLN
3222476;98,00;2;PLN
3222477;73,32;2;PLN
3222478;72,05;2;PLN
3222479;73,32;2;PLN
3222480;263,27;2;PLN
3236422;136,81;5;PLN
3236422;134,99;10;PLN
3246293;254,17;2;PLN
3257134;434,82;2;PLN
3286256;191,13;7;PLN
3308684;54,73;5;PLN
3308684;53,88;10;PLN
3308686;54,78;5;PLN
3308686;53,92;10;PLN
3308687;46,83;5;PLN
3308687;46,10;10;PLN
3339753;27,35;5;PLN
3339753;26,98;10;PLN
3339754;19,51;5;PLN
3339754;19,26;10;PLN
3339755;19,51;5;PLN
3339755;19,26;10;PLN
3339756;19,51;5;PLN
3339756;19,26;10;PLN
3358111;94,34;16;PLN
3367638;61,15;5;PLN
3367638;60,33;10;PLN
3375307;46,10;5;PLN
3375307;45,48;10;PLN
3380144;114,22;89;PLN
3380489;148,87;5;PLN
3380489;146,56;10;PLN
3405269;128,91;10;PLN
3405269;128,49;20;PLN
3430665;207,88;2;PLN
3430666;290,09;2;PLN
3454668;446,15;15001;PLN
3454669;619,73;15001;PLN
3459610;97,97;5;PLN
3459610;96,67;10;PLN
3466227;157,98;5;PLN
3466227;155,52;10;PLN
3466228;189,73;5;PLN
3466228;186,78;10;PLN
3466229;146,10;5;PLN
3466229;143,83;10;PLN
3466230;189,67;5;PLN
3466230;186,72;10;PLN
3466333;213,47;5;PLN
3466333;210,16;10;PLN
3466334;70,63;5;PLN
3466334;69,53;10;PLN
3466335;70,63;5;PLN
3466335;69,53;10;PLN
3466336;102,28;5;PLN
3466336;100,69;10;PLN
3466337;126,03;5;PLN
3466337;124,08;10;PLN
3466338;122,92;5;PLN
3466338;121,01;10;PLN
3493386;151,65;4;PLN
3521281;151,43;10;PLN
3522236;51,00;2;PLN
3522237;134,55;2;PLN
3522239;93,11;2;PLN
3522240;177,07;2;PLN
3522241;36,40;2;PLN
3522242;36,14;2;PLN
3522243;36,40;2;PLN
3522244;36,14;2;PLN
3522245;36,40;2;PLN
3522246;47,52;2;PLN
3522247;47,18;2;PLN
3522248;46,70;2;PLN
3522249;47,18;2;PLN
3522250;47,52;2;PLN
3522251;44,88;2;PLN
3522252;49,64;2;PLN
3542428;122,88;5;PLN
3542428;120,97;10;PLN
3542429;122,88;5;PLN
3542429;120,97;10;PLN
3542430;115,92;5;PLN
3542430;114,12;10;PLN
3542432;54,73;5;PLN
3542432;53,88;10;PLN
3542433;612,64;5;PLN
3542433;604,48;10;PLN
3542434;762,74;5;PLN
3542434;752,57;10;PLN
3542439;358,90;5;PLN
3542439;354,11;10;PLN
3542485;115,92;5;PLN
3542485;114,12;10;PLN
3547061;72,47;5;PLN
3547061;71,34;10;PLN
3547063;72,47;5;PLN
3547063;71,34;10;PLN
3555829;166,39;2;PLN
3555830;167,16;2;PLN
3556940;143,40;2;PLN
3557015;176,05;2;PLN
3557091;147,36;2;PLN
3557092;146,60;2;PLN
3557093;155,30;2;PLN
3557094;156,08;2;PLN
3557101;158,91;2;PLN
3557102;129,34;2;PLN
3557103;128,71;2;PLN
3589063;43,41;5;PLN
3589063;42,73;10;PLN
3606692;144,64;99;PLN
3606695;159,75;100;PLN
3606872;151,65;9;PLN
3612992;229,58;5;PLN
3612992;226,53;10;PLN
3638650;174,95;5;PLN
3638650;172,61;10;PLN
3638652;152,03;5;PLN
3638652;150,00;10;PLN
3643454;2085,44;2;PLN
3643455;2085,44;2;PLN
3643456;2085,44;2;PLN
3643457;1199,63;2;PLN
3675276;181,78;5;PLN
3675276;178,96;10;PLN
3681521;597,47;55;PLN
3698682;42,76;150;PLN
3698686;42,76;76;PLN
3698771;42,76;76;PLN
3699335;99,89;293;PLN
3719370;54,64;2;PLN
3720098;149,15;2;PLN
3720162;149,15;2;PLN
3720163;149,15;2;PLN
3720164;149,15;2;PLN
3720165;149,15;2;PLN
3720166;149,15;2;PLN
